2023-07-09 22:13:49,027 - INFO - FileInfo(name='Task_9', ext='.zip', type='file', parent='Task_9')
2023-07-09 22:13:49,033 - INFO - FileInfo(name='cross', ext='.py', type='file', parent='Task_9')
2023-07-09 22:13:49,034 - INFO - FileInfo(name='botcommands.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,034 - INFO - FileInfo(name='bot_commands.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,035 - INFO - FileInfo(name='cross.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,036 - INFO - FileInfo(name='logger.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,036 - INFO - FileInfo(name='__pycache__', ext='', type='directory', parent='Task_9')
2023-07-09 22:13:49,036 - INFO - FileInfo(name='logger', ext='.py', type='file', parent='Task_9')
2023-07-09 22:13:49,036 - INFO - FileInfo(name='log', ext='.txt', type='file', parent='Task_9')
2023-07-09 22:13:49,036 - INFO - FileInfo(name='main', ext='.py', type='file', parent='Task_9')
2023-07-09 22:13:49,037 - INFO - FileInfo(name='bot_commands', ext='.py', type='file', parent='Task_9')
2023-07-09 22:13:49,037 - INFO - FileInfo(name='Task_9_', ext='.zip', type='file', parent='Task_9')
2023-07-09 22:13:49,037 - INFO - FileInfo(name='Task_9', ext='', type='directory', parent='python')
2023-07-09 22:13:49,038 - INFO - FileInfo(name='type3', ext='.py', type='file', parent='test')
2023-07-09 22:13:49,038 - INFO - FileInfo(name='type2', ext='.py', type='file', parent='test')
2023-07-09 22:13:49,039 - INFO - FileInfo(name='.DS_Store', ext='', type='file', parent='test')
2023-07-09 22:13:49,040 - INFO - FileInfo(name='type6', ext='.py', type='file', parent='test')
2023-07-09 22:13:49,040 - INFO - FileInfo(name='lesson2', ext='', type='file', parent='test')
2023-07-09 22:13:49,041 - INFO - FileInfo(name='chet', ext='', type='file', parent='test')
2023-07-09 22:13:49,041 - INFO - FileInfo(name='bank', ext='.py', type='file', parent='test')
2023-07-09 22:13:49,042 - INFO - FileInfo(name='choinka', ext='', type='file', parent='test')
2023-07-09 22:13:49,043 - INFO - FileInfo(name='choinka1', ext='', type='file', parent='test')
2023-07-09 22:13:49,043 - INFO - FileInfo(name='three', ext='', type='file', parent='test')
2023-07-09 22:13:49,043 - INFO - FileInfo(name='bikwadr', ext='', type='file', parent='test')
2023-07-09 22:13:49,044 - INFO - FileInfo(name='type1', ext='.py', type='file', parent='test')
2023-07-09 22:13:49,046 - INFO - FileInfo(name='tabl', ext='.py', type='file', parent='test')
2023-07-09 22:13:49,046 - INFO - FileInfo(name='test', ext='', type='directory', parent='python')
2023-07-09 22:13:49,047 - INFO - FileInfo(name='zadanie_2', ext='.log', type='file', parent='TesT_15')
2023-07-09 22:13:49,047 - INFO - FileInfo(name='log', ext='.log', type='file', parent='TesT_15')
2023-07-09 22:13:49,047 - INFO - FileInfo(name='zadanie_2_3', ext='.py', type='file', parent='TesT_15')
2023-07-09 22:13:49,047 - INFO - FileInfo(name='zadanie_4', ext='.log', type='file', parent='TesT_15')
2023-07-09 22:13:49,048 - INFO - FileInfo(name='zadanie_6', ext='.log', type='file', parent='TesT_15')
2023-07-09 22:13:49,048 - INFO - FileInfo(name='zadanie_6', ext='.py', type='file', parent='TesT_15')
2023-07-09 22:13:49,048 - INFO - FileInfo(name='zadanie_4_5', ext='.py', type='file', parent='TesT_15')
2023-07-09 22:13:49,048 - INFO - FileInfo(name='zadanie_1', ext='.py', type='file', parent='TesT_15')
2023-07-09 22:13:49,048 - INFO - FileInfo(name='TesT_15', ext='', type='directory', parent='python')
2023-07-09 22:13:49,049 - INFO - FileInfo(name='CACHEDIR', ext='.TAG', type='file', parent='.pytest_cache')
2023-07-09 22:13:49,049 - INFO - FileInfo(name='README', ext='.md', type='file', parent='.pytest_cache')
2023-07-09 22:13:49,049 - INFO - FileInfo(name='.gitignore', ext='', type='file', parent='.pytest_cache')
2023-07-09 22:13:49,049 - INFO - FileInfo(name='nodeids', ext='', type='file', parent='cache')
2023-07-09 22:13:49,049 - INFO - FileInfo(name='stepwise', ext='', type='file', parent='cache')
2023-07-09 22:13:49,049 - INFO - FileInfo(name='cache', ext='', type='directory', parent='v')
2023-07-09 22:13:49,049 - INFO - FileInfo(name='v', ext='', type='directory', parent='.pytest_cache')
2023-07-09 22:13:49,050 - INFO - FileInfo(name='.pytest_cache', ext='', type='directory', parent='python')
2023-07-09 22:13:49,050 - INFO - FileInfo(name='subjects', ext='.csv', type='file', parent='TesT_12')
2023-07-09 22:13:49,051 - INFO - FileInfo(name='zadanie_3', ext='.py', type='file', parent='TesT_12')
2023-07-09 22:13:49,051 - INFO - FileInfo(name='zadanie_2', ext='.py', type='file', parent='TesT_12')
2023-07-09 22:13:49,052 - INFO - FileInfo(name='zadanie_dz', ext='.py', type='file', parent='TesT_12')
2023-07-09 22:13:49,052 - INFO - FileInfo(name='zadanie_6', ext='.py', type='file', parent='TesT_12')
2023-07-09 22:13:49,053 - INFO - FileInfo(name='zadanie_4_5', ext='.py', type='file', parent='TesT_12')
2023-07-09 22:13:49,053 - INFO - FileInfo(name='zadanie_1', ext='.py', type='file', parent='TesT_12')
2023-07-09 22:13:49,053 - INFO - FileInfo(name='factorial_res', ext='.json', type='file', parent='TesT_12')
2023-07-09 22:13:49,053 - INFO - FileInfo(name='TesT_12', ext='', type='directory', parent='python')
2023-07-09 22:13:49,054 - INFO - FileInfo(name='file2', ext='.txt', type='file', parent='Task_8')
2023-07-09 22:13:49,054 - INFO - FileInfo(name='file', ext='.txt', type='file', parent='Task_8')
2023-07-09 22:13:49,055 - INFO - FileInfo(name='Task_8', ext='.zip', type='file', parent='Task_8')
2023-07-09 22:13:49,055 - INFO - FileInfo(name='controller', ext='.py', type='file', parent='Task_8')
2023-07-09 22:13:49,055 - INFO - FileInfo(name='controller.cpython-310', ext='.pyc', type='file', parent='__pycache__')
2023-07-09 22:13:49,072 - INFO - FileInfo(name='logger.cpython-310', ext='.pyc', type='file', parent='__pycache__')
